trct,access_total,access_low,access_med,access_high,cutoff,totjobs,lowjobs,medjobs,highjobs,workers_all,workers_low,workers_med,workers_high
48453001912,7114,803,878,5433,45,7114,803,878,5433,1476,166.60500421703682,182.16587011526568,1127.2291256676974
48453001915,13952,1457,2455,10040,45,9091,843,1150,7098,1802,167.0977890221098,227.95072049279509,1406.9514904850953
48453002434,519,91,176,252,45,519,91,176,252,892,156.40077071290943,302.48940269749517,433.10982658959534
48453002211,569,65,168,336,45,569,65,168,336,1419,162.1001757469244,418.9666080843585,837.933216168717
48453002500,4036,872,1016,2148,45,4036,872,1016,2148,2785,601.7145688800794,701.0802775024778,1482.2051536174429
48453002436,1212,150,309,753,45,1212,150,309,753,1212,150,309,753
48453002432,2304,214,504,1586,45,2304,214,504,1586,2086,193.75173611111111,456.3125,1435.935763888889
48453002112,1492,323,485,684,45,586,63,186,337,2093,225.01535836177476,664.3310580204778,1203.6535836177475
48453002113,746,111,239,396,45,160,48,53,59,1890,567,626.0625,696.9375
48453002201,1723,146,493,1084,45,1723,146,493,1084,1057,89.56587347649449,302.43818920487524,664.9959373186302
48453980000,2674,833,674,1167,45,2674,833,674,1167,73,22.74083769633508,18.400149588631265,31.859012715033657
48453002304,2190,765,849,576,45,1332,443,539,350,2489,827.7980480480481,1007.1854354354355,654.0165165165166
48453002314,1052,118,138,796,45,912,38,104,770,2913,121.375,332.1842105263158,2459.440789473684
48453002316,6359,1042,1620,3697,45,483,154,189,140,1869,595.9130434782609,731.3478260869565,541.7391304347826
48453002403,2847,526,875,1446,45,2847,526,875,1446,1379,254.77836318932208,423.82332279592555,700.3983140147524
48453002409,2144,566,789,789,45,602,87,175,340,1781,257.3870431893688,517.732558139535,1005.8803986710964
48453002410,2144,566,789,789,45,545,153,213,179,1722,483.4238532110092,673.0018348623854,565.5743119266056
48453002411,11043,1352,2055,7636,45,10692,1279,1973,7440,2113,252.7615974560419,389.91292555181445,1470.3254769921439
48453002412,632,263,249,120,45,19,3,11,5,2294,362.2105263157895,1328.1052631578948,603.6842105263157
48453002413,11062,1355,2066,7641,45,351,73,82,196,1401,291.37606837606836,327.29914529914527,782.3247863247863
48453002419,632,263,249,120,45,613,260,238,115,1929,818.1729200652528,748.9429037520391,361.884176182708
48453002422,2309,460,748,1101,45,2309,460,748,1101,2931,583.9151147682979,949.4967518406237,1397.5881333910784
48453002423,225,74,71,80,45,225,74,71,80,3119,1025.8044444444445,984.2177777777777,1108.9777777777779
48453002424,772,179,226,367,45,772,179,226,367,1723,399.5038860103627,504.40155440414503,819.0945595854922
48453002310,1248,260,397,591,45,1248,260,397,591,984,205,313.0192307692308,465.9807692307692
48453040700,7254,1828,2310,3116,45,3573,667,1056,1850,2186,408.0778057654632,646.0722082283795,1131.8499860061572
